n_max,Delta (dB),Approx. overlap,r0 (dB),c0_0,c0_2,c0_4,c0_6,c0_8,c0_10,c0_12,Navg0,Fidelity0,r1 (dB),c1_0,c1_2,c1_4,c1_6,c1_8,c1_10,c1_12,Navg1,Fidelity1
4,6.6,1.9700577893980253e-05,2.0828195646159613,0.7935222582933845,-0.31762436686290146,0.5190733928532254,0.0,0.0,0.0,0.0,1.9502197893910385,0.9429359760416862,-1.9176978055164535,0.21465572148509313,0.7509746221957324,0.6244678038651647,0.0,0.0,0.0,0.0,3.8484673252338037,0.9825282792180683
4,6.8,4.644363979150837e-05,2.135110963249039,0.783007712947507,-0.3110098506618995,0.5386759640602149,0.0,0.0,0.0,0.0,2.055929221488686,0.9356371944221216,-1.9578709345311427,0.206766911659473,0.743678551508594,0.63575911811699,0.0,0.0,0.0,0.0,3.92097496557744,0.9792126634893819
4,7.0,0.0003030667281408476,2.1843632288401373,0.7725233456388342,-0.3038723508920438,0.5575565216248606,0.0,0.0,0.0,0.0,2.1591370539059924,0.9278127430493052,-1.995440028203941,0.1992954743222498,0.7363238660131233,0.6466130823843362,0.0,0.0,0.0,0.0,3.990136101535337,0.9753974830425453
4,7.2,0.0007482874314328618,2.2306845331901233,0.7620950999081494,-0.2963010599582099,0.5756880583819932,0.0,0.0,0.0,0.0,2.2594561480469553,0.9194671718422596,-2.0305202399057363,0.19222552128903406,0.728945908673844,0.6570290794120218,0.0,0.0,0.0,0.0,4.055939956222207,0.971036854425521
4,7.4,0.0013445939888425452,2.274203769890163,0.7517479255944686,-0.2883800653241449,0.5930531125367347,0.0,0.0,0.0,0.0,2.35657192884475,0.9106086020027765,-2.063227571528048,0.18554081672657313,0.7215770945973254,0.6670090718526486,0.0,0.0,0.0,0.0,4.118400150646939,0.9660863721943562
4,7.6,0.0020583664463576113,2.3150610845042783,0.7415057404220694,-0.2801876105958857,0.6096426328554615,0.0,0.0,0.0,0.0,2.450236644997109,0.9012484158097436,-2.09367926599373,0.17922484745280623,0.7142467727955076,0.6765574636398427,0.0,0.0,0.0,0.0,4.177553900876425,0.9605041973882019
4,7.8,0.0028598888294211144,2.3534045934886043,0.731391071327122,-0.27179549893009586,0.6254552802114819,0.0,0.0,0.0,0.0,2.540266997764385,0.8914008402843427,-2.1219923799481832,0.17326096514665812,0.7069812656394181,0.6856807770324352,0.0,0.0,0.0,0.0,4.233458846094253,0.9542521633029588
4,8.0,0.0037232459932598698,2.389380729547808,0.7214250805341781,-0.2632692771717186,0.6404960115988938,0.0,0.0,0.0,0.0,2.6265344903582,0.8810824580505647,-2.1482828927457107,0.1676325702643819,0.699803975904944,0.6943872958906663,0.0,0.0,0.0,0.0,4.286189997595411,0.947296853710732
4,8.2,0.004626159317140929,2.4231362798415574,0.7116272019799149,-0.2546678707616745,0.6547755348246206,0.0,0.0,0.0,0.0,2.708963567302736,0.8703116838385707,-2.172664938257455,0.16232321730382585,0.6927354058125705,0.7026868652953836,0.0,0.0,0.0,0.0,4.335837200967269,0.9396106064659148
4,8.4,0.005549752704666995,2.454812590941305,0.7020150329377721,-0.24604388350359435,0.6683092853760805,0.0,0.0,0.0,0.0,2.7875235850345974,0.8591082456848161,-2.195250773664241,0.15731677452806322,0.6857932461873376,0.7105906387906182,0.0,0.0,0.0,0.0,4.3825030043991795,0.9311723961162683
4,8.6,0.006478294733319593,2.484545819291193,0.6926042546825726,-0.2374436737761986,0.6811166186339614,0.0,0.0,0.0,0.0,2.86222353066718,0.847492706468819,-2.216149218913296,0.15259736149870876,0.678992636214988,0.7181107471922062,0.0,0.0,0.0,0.0,4.426299036717412,0.9219685529642865
4,8.8,0.007398870246120855,2.512465441068828,0.6834086036782013,-0.22890766446980204,0.6932199950705624,0.0,0.0,0.0,0.0,2.9331057133670004,0.8354860548482309,-2.235466241557776,0.14814965443733474,0.6723461662127483,0.7252601689536988,0.0,0.0,0.0,0.0,4.467344734109954,0.9119932829932677
